seq_id,tier,length,n_stems,level,solver,e_vienna_mfe,e_model_optimum,e_solver,encoding_gap,optimizer_gap,total_gap,sensitivity,ppv,f1,bp_distance,exact_match,matches_subopt,feasible_raw,was_repaired,n_removed,reference_representable,model_energy_error,level_exact_for_reference,structure,wall_time,model_level,model_n_vars,model_degree,model_n_obj_linear,model_n_obj_quadratic,model_n_obj_cubic,model_n_penalty_terms,model_lambda_conflict,model_lambda_cross,model_pseudoknot_mode,model_n_stems,model_n_conflict,model_n_crossing,model_n_nesting,res_n_vars,res_states_enumerated,res_function_evaluations,res_n_auxiliary_vars,res_branches,res_conflicts
M_ml01,M,34,39,1,cpsat,-12.4,-12.4,-12.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,3.1,False,(((((((((....))))((((....))))))))),0.3877968000015244,1,39,2,38,213,0,503,54.9,54.9,False,39,472,31,213,39,,,716.0,1160.0,0.0
M_ml02,M,35,17,0,brute_force,-10.4,-10.4,-10.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,14.7,False,((((.((((....)))).((((....)))).)))),0.0714486000360921,0,17,2,17,0,0,75,13.65,13.65,False,17,68,7,36,17,131072.0,131072.0,,,
M_ml02,M,35,17,1,brute_force,-10.4,-10.4,-10.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,1.0,False,((((.((((....)))).((((....)))).)))),0.09360070002730936,1,17,2,16,34,0,75,15.0,15.0,False,17,68,7,36,17,131072.0,131072.0,,,
M_ml03,M,36,41,0,cpsat,-15.4,-15.4,-15.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,15.2,False,(((((((((....)))))(((((....))))))))),0.32668729999568313,0,41,2,41,0,0,613,22.35,22.35,False,41,555,58,105,41,,,613.0,824.0,0.0
M_ml03,M,36,41,1,cpsat,-15.4,-15.4,-15.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,1.4,False,(((((((((....)))))(((((....))))))))),0.1633163999649696,1,41,2,40,98,0,613,33.6,33.6,False,41,555,58,105,41,,,711.0,1280.0,0.0
M_ml04,M,37,34,0,cpsat,-12.4,-12.4,-12.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,15.2,False,(((((.((((....)))).((((....)))).))))),0.15647940000053495,0,34,2,34,0,0,386,16.5,16.5,False,34,357,29,140,34,,,386.0,840.0,0.0
M_ml04,M,37,34,1,cpsat,-12.4,-12.4,-12.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.8,False,(((((.((((....)))).((((....)))).))))),0.1137421999592334,1,34,2,34,140,0,386,49.4,49.4,False,34,357,29,140,34,,,526.0,1022.0,0.0
M_ml05,M,39,34,0,cpsat,-14.0,-14.0,-14.0,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,15.2,False,((((.(((((....))))).(((((....))))).)))),0.06914340000366792,0,34,2,34,0,0,364,18.6,18.6,False,34,327,37,129,34,,,364.0,436.0,0.0
M_ml05,M,39,34,1,cpsat,-14.0,-14.0,-14.0,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,1.03,False,((((.(((((....))))).(((((....))))).)))),0.08842929999809712,1,34,2,33,123,0,364,56.79,56.79,False,34,327,37,129,34,,,487.0,896.0,0.0
M_ml06,M,41,30,0,cpsat,-19.3,-19.3,-19.3,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,15.3,False,(((((.(((((....))))).(((((....))))).))))),0.06366450001951307,0,30,2,30,0,0,207,18.45,18.45,False,30,202,5,166,30,,,207.0,366.0,0.0
