tier,seq_id,n_stems,R_fraction,R,n_selected,collapse_rate,model_energy,optimizer_gap_model,e_vienna,total_gap,feasible_raw,was_repaired,n_removed
A,A_hp04,14,0.75,10.5,1,1.0,-5.9,0.0,-5.9,0.0,True,False,0
A,A_hp04,14,1.0,14.0,1,1.0,-5.9,0.0,-5.9,0.0,True,False,0
A,A_hp05,24,0.1,2.4000000000000004,1,1.0,-1.6000000000000005,0.7,-1.6,0.7,True,False,0
A,A_hp05,24,0.2,4.800000000000001,1,1.0,-1.6000000000000005,0.7,-1.6,0.7,True,False,0
A,A_hp05,24,0.3,7.199999999999999,1,1.0,-1.6000000000000005,0.7,-1.6,0.7,True,False,0
A,A_hp05,24,0.5,12.0,1,1.0,1.7000000000000002,4.0,1.7,4.0,True,False,0
A,A_hp05,24,0.75,18.0,1,1.0,1.7000000000000002,4.0,1.7,4.0,True,False,0
A,A_hp05,24,1.0,24.0,1,1.0,1.7999999999999998,4.1,1.8,4.1,True,False,0
A,A_hp06,11,0.1,1.1,1,0.5833333333333334,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp06,11,0.2,2.2,1,1.0,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp06,11,0.3,3.3,1,1.0,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp06,11,0.5,5.5,1,1.0,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp06,11,0.75,8.25,1,1.0,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp06,11,1.0,11.0,1,1.0,-6.599999999999999,0.0,-6.6,0.0,True,False,0
A,A_hp07,22,0.1,2.2,1,1.0,-9.000000000000002,0.0,-9.0,0.0,True,False,0
A,A_hp07,22,0.2,4.4,1,1.0,-6.1,2.9,-6.1,2.9,True,False,0
A,A_hp07,22,0.3,6.6,1,1.0,-6.1,2.9,-6.1,2.9,True,False,0
A,A_hp07,22,0.5,11.0,1,1.0,-6.1,2.9,-6.1,2.9,True,False,0
A,A_hp07,22,0.75,16.5,1,1.0,-2.5999999999999996,6.4,-2.6,6.4,True,False,0
A,A_hp07,22,1.0,22.0,1,1.0,-1.0999999999999996,7.9,-1.1,7.9,True,False,0
A,A_hp08,28,0.1,2.8000000000000003,1,1.0,-5.3,2.6,-5.3,2.6,True,False,0
A,A_hp08,28,0.2,5.6000000000000005,1,1.0,-3.3999999999999986,4.5,-3.4,4.5,True,False,0
A,A_hp08,28,0.3,8.4,1,1.0,-2.700000000000001,5.2,-2.7,5.2,True,False,0
A,A_hp08,28,0.5,14.0,1,1.0,-2.700000000000001,5.2,-2.7,5.2,True,False,0
A,A_hp08,28,0.75,21.0,1,1.0,0.2999999999999998,8.2,0.3,8.2,True,False,0
A,A_hp08,28,1.0,28.0,1,1.0,1.3999999999999995,9.3,1.4,9.3,True,False,0
A,A_rand01,3,0.1,1.0,1,0.6666666666666666,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand01,3,0.2,1.0,1,0.6666666666666666,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand01,3,0.3,1.0,1,0.6666666666666666,-0.5,0.0,-0.5,0.0,True,False,0
A,A_rand01,3,0.5,1.5,1,1.0,-0.5,0.0,-0.5,0.0,True,False,0
